1,-3,0,1 # A3 x^3-3x+1 r=3
-1,3,0,1 # A3 -x^3+3x+1 r=1
-1,-3,0,1 # S3 x^3-3x-1 r=3
-1,-4,0,1 # S3 x^3-4x-1 r=3
-2,-4,0,1 # S3 x^3-4x-2 r=3
-1,-5,0,1 # S3 x^3-5x-1 r=3
-3,-5,0,1 # S3 x^3-5x-3 r=3
-1,-6,0,1 # S3 x^3-6x-1 r=3
-2,-6,0,1 # S3 x^3-6x-2 r=3
-3,-6,0,1 # S3 x^3-6x-3 r=3
-1,-7,0,1 # S3 x^3-7x-1 r=3
-2,-7,0,1 # S3 x^3-7x-2 r=3
-3,-7,0,1 # S3 x^3-7x-3 r=3
-4,-7,0,1 # S3 x^3-7x-4 r=3
-5,-7,0,1 # S3 x^3-7x-5 r=3
-7,-7,0,1 # S3 x^3-7x-7 r=3
-1,-8,0,1 # S3 x^3-8x-1 r=3
-2,-8,0,1 # S3 x^3-8x-2 r=3
-4,-8,0,1 # S3 x^3-8x-4 r=3
-5,-8,0,1 # S3 x^3-8x-5 r=3
-6,-8,0,1 # S3 x^3-8x-6 r=3
1,0,-12,0,1 # biq a=-12 b=1 r=4
2,0,-12,0,1 # biq a=-12 b=2 r=4
3,0,-12,0,1 # biq a=-12 b=3 r=4
5,0,-12,0,1 # biq a=-12 b=5 r=4
6,0,-12,0,1 # biq a=-12 b=6 r=4
7,0,-12,0,1 # biq a=-12 b=7 r=4
8,0,-12,0,1 # biq a=-12 b=8 r=4
9,0,-12,0,1 # biq a=-12 b=9 r=4
2,0,-11,0,1 # biq a=-11 b=2 r=4
3,0,-11,0,1 # biq a=-11 b=3 r=4
4,0,-11,0,1 # biq a=-11 b=4 r=4
5,0,-11,0,1 # biq a=-11 b=5 r=4
6,0,-11,0,1 # biq a=-11 b=6 r=4
7,0,-11,0,1 # biq a=-11 b=7 r=4
8,0,-11,0,1 # biq a=-11 b=8 r=4
9,0,-11,0,1 # biq a=-11 b=9 r=4
1,0,-10,0,1 # biq a=-10 b=1 r=4
2,0,-10,0,1 # biq a=-10 b=2 r=4
3,0,-10,0,1 # biq a=-10 b=3 r=4
4,0,-10,0,1 # biq a=-10 b=4 r=4
5,0,-10,0,1 # biq a=-10 b=5 r=4
6,0,-10,0,1 # biq a=-10 b=6 r=4
7,0,-10,0,1 # biq a=-10 b=7 r=4
8,0,-10,0,1 # biq a=-10 b=8 r=4
1,0,-9,0,1 # biq a=-9 b=1 r=4
2,0,-9,0,1 # biq a=-9 b=2 r=4
3,0,-9,0,1 # biq a=-9 b=3 r=4
4,0,-9,0,1 # biq a=-9 b=4 r=4
5,0,-9,0,1 # biq a=-9 b=5 r=4
6,0,-9,0,1 # biq a=-9 b=6 r=4
7,0,-9,0,1 # biq a=-9 b=7 r=4
9,0,-9,0,1 # biq a=-9 b=9 r=4
1,0,-8,0,1 # biq a=-8 b=1 r=4
2,0,-8,0,1 # biq a=-8 b=2 r=4
3,0,-8,0,1 # biq a=-8 b=3 r=4
5,0,-8,0,1 # biq a=-8 b=5 r=4
6,0,-8,0,1 # biq a=-8 b=6 r=4
8,0,-8,0,1 # biq a=-8 b=8 r=4
9,0,-8,0,1 # biq a=-8 b=9 r=4
2,0,-7,0,1 # biq a=-7 b=2 r=4
3,0,-7,0,1 # biq a=-7 b=3 r=4
4,0,-7,0,1 # biq a=-7 b=4 r=4
5,0,-7,0,1 # biq a=-7 b=5 r=4
7,0,-7,0,1 # biq a=-7 b=7 r=4
8,0,-7,0,1 # biq a=-7 b=8 r=4
2,0,-6,0,1 # biq a=-6 b=2 r=4
3,0,-6,0,1 # biq a=-6 b=3 r=4
4,0,-6,0,1 # biq a=-6 b=4 r=4
6,0,-6,0,1 # biq a=-6 b=6 r=4
7,0,-6,0,1 # biq a=-6 b=7 r=4
1,0,-5,0,1 # biq a=-5 b=1 r=4
2,0,-5,0,1 # biq a=-5 b=2 r=4
3,0,-5,0,1 # biq a=-5 b=3 r=4
5,0,-5,0,1 # biq a=-5 b=5 r=4
1,0,-4,0,1 # biq a=-4 b=1 r=4
2,0,-4,0,1 # biq a=-4 b=2 r=4
-2,0,0,0,1 # x^4-2 r=2
-3,0,0,0,1 # x^4-3 r=2
-5,0,0,0,1 # x^4-5 r=2
-6,0,0,0,1 # x^4-6 r=2
-7,0,0,0,1 # x^4-7 r=2
-1908004822190375456,-550882032525221984,4326443096977463168,1274715544913668424,-2937080328452814888,-876554912825849200,563705947988989656,165938748030638184,-46464989095963508,-13509943096310632,1953790892181128,581837472135408,-43842353026520,-14534324795010,484311094754,217552229614,-1232975888,-1936173000,-25072407,9791518,247809,-25430,-847,26,1 # comp 4x6 (4*6) r=24
-346460166167237264,400097213393700160,195431430283616272,-317543116006395792,-13773089392892488,83458450971707824,-5284487477386976,-10497310718996824,1056565424505268,740326489069172,-85269344203506,-31855355780716,3835488609375,875467837362,-106296484280,-15651272543,1884890341,180709296,-21412945,-1295138,150409,5219,-593,-9,1 # comp 8x3 (8*3) r=24
38052147432583063680,-818640177059885160960,-418695287115777972464,1094658532015945132608,436567458949617602400,-316323490780716010736,-113302998280981302104,27087503172623427400,7885093123698934204,-1350897717279276580,-220814115538477899,39921408346087714,2309203184399991,-609663374085016,-578140614779,4738603683086,-156389378553,-17376979324,1110709471,17432646,-2928443,48776,2271,-94,1 # comp 12x2 (12*2) r=24
13676305423864969,12399763613595612,-100809050188049802,-93686901914048424,110101230103247757,115803625030070548,-6911203006291226,-25386720214978388,-1644296998989390,2342974467807648,200342825419506,-117114992490856,-8346655092431,3542458412192,155378368126,-66368428856,-1063456010,753542184,-4701190,-4954060,110845,17148,-578,-24,1 # comp 4x6 (4*6) r=24
1679616,0,-5230265904,0,27854450532,0,-40167316692,0,24072162273,0,-7574459976,0,1395968514,0,-158454288,0,11242495,0,-492068,0,12714,0,-176,0,1 # comp 4x6 (4*6) r=24
5245919552844,52482020116707,30882356073846,-121015163512647,-107538043703497,72287222699766,96241920369826,2200044019448,-27673891805946,-7626932836078,2610254408823,1442524268848,27213679554,-98357906356,-16820127232,1895583612,835322723,53962401,-11045384,-2057942,-76710,10540,1340,60,1 # comp 6x4 (6*4) r=24
887602454879575,4086984992903644,-2398571740190720,-7834459760717646,95081935380831,4062818652686702,617736920855738,-873068138463106,-199394191054116,89920711332816,24208708292020,-5232768009934,-1508987047213,196626733342,54254806326,-5278243278,-1167680564,104052340,14583796,-1403898,-90489,11130,106,-38,1 # comp 2x12 (2*12) r=24
