1699	((((C4 x C2) : C2) : C4) : (C2 x C2)) : C3
1958	(D8 : (C4 x C4)) : S3
1961	((C4 x C2 x C2) : D8) : S3
1969	(C4 x C4) : ((C3 : Q8) : C2)
1970	(C4 x C4) : ((C3 : Q8) : C2)
1977	((C4 x C4) : QD16) : C3
2012	(((C4 x C2) : D8) : (C2 x C2)) : C3
2024	((((C4 x C2) : C4) : C2) : (C2 x C2)) : C3
2025	((((C2 x C2) . (C2 x C2 x C2)) : C4) : C2) : C3
2030	((((C2 x C2) : (C4 : C4)) : C2) : C2) : C3
2050	((C2 x C2 x C2) . (C2 x C2 x C2 x C2 x C2)) : C3
2080	((C4 x C2) : ((C2 x C2 x C2) : (C2 x C2))) : C3
3394	((C2 x Q8) : ((C2 x C2 x C2) : (C2 x C2))) : C3
3399	(((((C4 x C2) : C2) : C4) : C2) : (C2 x C2)) : C3
3405	((C2 x C2 x C2) : (((C4 x C2) : C2) : (C2 x C2))) : C3
3412	((C4 x ((C4 x C2) : C2)) : (C2 x C2 x C2)) : C3
3415	(Q8 : (((C4 x C2) : C2) : (C2 x C2))) : C3
3425	(C2 x C2 x ((C4 x C2) : C2)) : ((C6 x C2) : C2)
3428	((((C4 : C4) : C4) : C2) : (C2 x C2)) : C3
3429	(((C4 x C2) : D8) : (C2 x C2 x C2)) : C3
