parsed 232 polynomials from data/liftB_b2_all.txt
ok: True | submissionId: sub_46364c94485342ab8c3b90504b8611e0 | batchId: igp24_batch_a8f22e4afd874fe4b45e19cfc488256c | status: queued | queued: 232 | rejected: 0
[     0s] batch queued verified=0 failed=0 queued=232
[    14s] batch complete verified=232 failed=0 queued=0
       idx=0 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=1 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=2 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=3 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=4 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=5 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=6 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=7 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=8 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=9 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=10 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=11 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=12 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=13 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=14 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=15 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=16 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=17 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=18 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=19 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=20 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=21 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=22 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=23 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=24 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=25 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=26 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=27 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=28 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=29 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=30 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=31 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=32 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=33 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=34 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=35 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=36 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=37 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=38 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=39 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=40 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=41 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=42 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=43 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=44 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=45 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=46 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=47 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=48 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=49 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=50 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=51 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=52 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=53 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=54 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=55 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=56 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=57 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=58 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=59 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=60 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=61 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=62 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=63 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=64 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=65 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=66 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
