t	r	label
1	0	24T1
1	24	24T1
2	0	24T2
2	24	24T2
3	0	24T3
3	24	24T3
7	24	24T7
21	4	24T21
35	2	24T35
35	24	24T35
39	0	24T39
39	12	24T39
49	8	24T49
50	0	24T50
58	24	24T58
59	8	24T59
65	0	24T65
81	0	24T81
81	24	24T81
82	0	24T82
97	12	24T97
107	24	24T107
120	24	24T120
121	24	24T121
122	24	24T122
174	0	24T174
176	16	24T176
183	0	24T183
187	0	24T187
188	4	24T188
189	0	24T189
190	4	24T190
197	24	24T197
201	24	24T201
214	0	24T214
214	24	24T214
216	8	24T216
222	24	24T222
239	8	24T239
244	0	24T244
244	8	24T244
244	24	24T244
576	4	24T576
1353	4	24T1353
1699	8	24T1699
1958	0	24T1958
1958	8	24T1958
1958	16	24T1958
1958	24	24T1958
1961	0	24T1961
1961	8	24T1961
1961	16	24T1961
1961	24	24T1961
1969	8	24T1969
1970	8	24T1970
1970	16	24T1970
1977	0	24T1977
1977	8	24T1977
1977	16	24T1977
1977	24	24T1977
2012	8	24T2012
2012	16	24T2012
2024	8	24T2024
2024	16	24T2024
2025	16	24T2025
2025	24	24T2025
2030	0	24T2030
2030	16	24T2030
2030	24	24T2030
2050	0	24T2050
2050	8	24T2050
2050	16	24T2050
2080	0	24T2080
3256	0	24T3256
3394	8	24T3394
3394	12	24T3394
3399	16	24T3399
3405	16	24T3405
3412	16	24T3412
3415	0	24T3415
3415	4	24T3415
3415	8	24T3415
3415	16	24T3415
3415	24	24T3415
3425	16	24T3425
3428	8	24T3428
3428	24	24T3428
3429	16	24T3429
3494	16	24T3494
3494	24	24T3494
3496	4	24T3496
3496	16	24T3496
3528	16	24T3528
3548	12	24T3548
3557	12	24T3557
3579	16	24T3579
3580	12	24T3580
3589	12	24T3589
3603	8	24T3603
3603	16	24T3603
3632	12	24T3632
3645	16	24T3645
3669	12	24T3669
3681	16	24T3681
3682	12	24T3682
3690	16	24T3690
3696	12	24T3696
3698	12	24T3698
3717	16	24T3717
3735	12	24T3735
3750	16	24T3750
3753	16	24T3753
3753	24	24T3753
3756	12	24T3756
3757	12	24T3757
3757	16	24T3757
3777	4	24T3777
3781	12	24T3781
3818	12	24T3818
3820	0	24T3820
3820	16	24T3820
3844	12	24T3844
3844	16	24T3844
3845	12	24T3845
3848	8	24T3848
3861	12	24T3861
3862	16	24T3862
3868	8	24T3868
3868	16	24T3868
3878	12	24T3878
3878	16	24T3878
3884	8	24T3884
3884	16	24T3884
3894	8	24T3894
3911	16	24T3911
3913	12	24T3913
3930	8	24T3930
3930	12	24T3930
3930	16	24T3930
3939	8	24T3939
3939	16	24T3939
3940	0	24T3940
3940	8	24T3940
3940	16	24T3940
3940	24	24T3940
3976	8	24T3976
3976	16	24T3976
3979	8	24T3979
3979	16	24T3979
3980	0	24T3980
3980	8	24T3980
3980	16	24T3980
3980	24	24T3980
3982	0	24T3982
3982	8	24T3982
3982	16	24T3982
3982	24	24T3982
3990	16	24T3990
4002	16	24T4002
4021	16	24T4021
4028	16	24T4028
4042	16	24T4042
4051	16	24T4051
4062	16	24T4062
4085	16	24T4085
4094	0	24T4094
4094	16	24T4094
4102	16	24T4102
4110	16	24T4110
4111	0	24T4111
4111	8	24T4111
4111	16	24T4111
4121	16	24T4121
4128	0	24T4128
4140	16	24T4140
4145	16	24T4145
4145	24	24T4145
4147	8	24T4147
4147	16	24T4147
4147	24	24T4147
4154	16	24T4154
4159	4	24T4159
4168	16	24T4168
4169	0	24T4169
4169	8	24T4169
4169	16	24T4169
4169	24	24T4169
4171	16	24T4171
4171	24	24T4171
4178	0	24T4178
4178	8	24T4178
4178	16	24T4178
4178	24	24T4178
4183	16	24T4183
4195	0	24T4195
4195	8	24T4195
4195	16	24T4195
4195	24	24T4195
4234	0	24T4234
4234	8	24T4234
4234	16	24T4234
4236	8	24T4236
4242	0	24T4242
4242	8	24T4242
4242	16	24T4242
4242	24	24T4242
4243	0	24T4243
4243	8	24T4243
4243	16	24T4243
4244	8	24T4244
4244	16	24T4244
4245	8	24T4245
4245	16	24T4245
4245	24	24T4245
4247	12	24T4247
4254	0	24T4254
4254	8	24T4254
4254	16	24T4254
4254	24	24T4254
4255	16	24T4255
4268	16	24T4268
4268	24	24T4268
4290	16	24T4290
4327	16	24T4327
4330	16	24T4330
4330	24	24T4330
4334	0	24T4334
4334	8	24T4334
4334	16	24T4334
4334	24	24T4334
4363	16	24T4363
4392	0	24T4392
4392	16	24T4392
4392	24	24T4392
4393	0	24T4393
4393	8	24T4393
4393	16	24T4393
4393	24	24T4393
4394	0	24T4394
4394	8	24T4394
4394	16	24T4394
4399	16	24T4399
4400	16	24T4400
4427	8	24T4427
4461	24	24T4461
4465	0	24T4465
4465	24	24T4465
5020	24	24T5020
5472	0	24T5472
5472	16	24T5472
5793	0	24T5793
5793	24	24T5793
5799	0	24T5799
5799	24	24T5799
5832	4	24T5832
5832	16	24T5832
5844	0	24T5844
5844	4	24T5844
5844	12	24T5844
5844	24	24T5844
5845	24	24T5845
5849	4	24T5849
5851	4	24T5851
5852	12	24T5852
5860	4	24T5860
5860	24	24T5860
5861	12	24T5861
5861	24	24T5861
5869	0	24T5869
5869	4	24T5869
5869	24	24T5869
5878	0	24T5878
5878	16	24T5878
5878	24	24T5878
5880	16	24T5880
5890	0	24T5890
5890	24	24T5890
5927	24	24T5927
5928	0	24T5928
5928	16	24T5928
5928	24	24T5928
5930	16	24T5930
6041	16	24T6041
6041	24	24T6041
6044	4	24T6044
6044	12	24T6044
6046	16	24T6046
6047	0	24T6047
6047	8	24T6047
6047	16	24T6047
6047	24	24T6047
6049	16	24T6049
6061	0	24T6061
6061	8	24T6061
6061	12	24T6061
6061	16	24T6061
6061	24	24T6061
6062	16	24T6062
6062	24	24T6062
6063	16	24T6063
6099	16	24T6099
6100	16	24T6100
6100	24	24T6100
6106	16	24T6106
6107	16	24T6107
6107	24	24T6107
6108	4	24T6108
6111	16	24T6111
6132	16	24T6132
6138	16	24T6138
6139	4	24T6139
6146	16	24T6146
6160	16	24T6160
6160	24	24T6160
6171	0	24T6171
6171	8	24T6171
6181	8	24T6181
6181	12	24T6181
6181	16	24T6181
6181	24	24T6181
6216	4	24T6216
6221	12	24T6221
6223	12	24T6223
6250	16	24T6250
6272	0	24T6272
6272	8	24T6272
6272	12	24T6272
6272	16	24T6272
6284	12	24T6284
6284	16	24T6284
6288	16	24T6288
6296	16	24T6296
6300	8	24T6300
6300	16	24T6300
6300	24	24T6300
6304	16	24T6304
6328	8	24T6328
6328	12	24T6328
6328	16	24T6328
6330	12	24T6330
6330	16	24T6330
6341	16	24T6341
6356	8	24T6356
6356	12	24T6356
6356	16	24T6356
6356	24	24T6356
6362	16	24T6362
6383	12	24T6383
6383	16	24T6383
6383	24	24T6383
6397	12	24T6397
6401	8	24T6401
6401	16	24T6401
6402	8	24T6402
6402	16	24T6402
6440	16	24T6440
6442	12	24T6442
6443	16	24T6443
6446	4	24T6446
6471	16	24T6471
6481	4	24T6481
6492	16	24T6492
6493	12	24T6493
6528	8	24T6528
6601	8	24T6601
6601	16	24T6601
6608	8	24T6608
6608	12	24T6608
6608	16	24T6608
6621	12	24T6621
6676	16	24T6676
6686	4	24T6686
6691	16	24T6691
6727	12	24T6727
6761	8	24T6761
6761	16	24T6761
6761	24	24T6761
6769	8	24T6769
6769	16	24T6769
6769	24	24T6769
6771	8	24T6771
6771	16	24T6771
6771	24	24T6771
6798	16	24T6798
6805	16	24T6805
6806	16	24T6806
6820	16	24T6820
6835	16	24T6835
6888	8	24T6888
6888	16	24T6888
6888	24	24T6888
6892	0	24T6892
6895	16	24T6895
6895	24	24T6895
6896	0	24T6896
6896	8	24T6896
6896	16	24T6896
6896	24	24T6896
6897	16	24T6897
6897	24	24T6897
6898	0	24T6898
6898	8	24T6898
6898	16	24T6898
6898	24	24T6898
6899	16	24T6899
6899	24	24T6899
6900	16	24T6900
6900	24	24T6900
6902	16	24T6902
6902	24	24T6902
6903	0	24T6903
6903	16	24T6903
6903	24	24T6903
6930	8	24T6930
6930	16	24T6930
6932	8	24T6932
6932	16	24T6932
6937	0	24T6937
6937	8	24T6937
6937	16	24T6937
6937	24	24T6937
6938	16	24T6938
6938	24	24T6938
6943	0	24T6943
6943	16	24T6943
6943	24	24T6943
6944	16	24T6944
6944	24	24T6944
6960	4	24T6960
6961	16	24T6961
6961	24	24T6961
6962	8	24T6962
6962	16	24T6962
6962	24	24T6962
6964	16	24T6964
6964	24	24T6964
6967	0	24T6967
6967	8	24T6967
6967	16	24T6967
6967	24	24T6967
6969	16	24T6969
6980	4	24T6980
6980	8	24T6980
6980	16	24T6980
6980	24	24T6980
6982	4	24T6982
6984	8	24T6984
6984	16	24T6984
6985	16	24T6985
6986	4	24T6986
6989	0	24T6989
6989	16	24T6989
6991	4	24T6991
7014	0	24T7014
7014	8	24T7014
7014	16	24T7014
7014	24	24T7014
7017	8	24T7017
7017	16	24T7017
7017	24	24T7017
7019	8	24T7019
7019	16	24T7019
7028	16	24T7028
7029	8	24T7029
7029	16	24T7029
7029	24	24T7029
7030	16	24T7030
7030	24	24T7030
7031	0	24T7031
7031	8	24T7031
7031	16	24T7031
7032	8	24T7032
7032	16	24T7032
7032	24	24T7032
7033	4	24T7033
7035	4	24T7035
7054	8	24T7054
7054	16	24T7054
7054	24	24T7054
7055	8	24T7055
7055	16	24T7055
7055	24	24T7055
7056	0	24T7056
7056	8	24T7056
7056	16	24T7056
7056	24	24T7056
7057	0	24T7057
7057	8	24T7057
7057	16	24T7057
7057	24	24T7057
7362	8	24T7362
7362	16	24T7362
7362	20	24T7362
7423	8	24T7423
7423	16	24T7423
7423	24	24T7423
7817	0	24T7817
7817	24	24T7817
8074	12	24T8074
8207	12	24T8207
8221	4	24T8221
8253	4	24T8253
8253	24	24T8253
8254	4	24T8254
8256	16	24T8256
8256	24	24T8256
8314	0	24T8314
8314	16	24T8314
8314	24	24T8314
8359	24	24T8359
8375	4	24T8375
8375	24	24T8375
8380	4	24T8380
8380	24	24T8380
8381	4	24T8381
8381	24	24T8381
8382	24	24T8382
8383	24	24T8383
8387	24	24T8387
8468	4	24T8468
8488	0	24T8488
8488	16	24T8488
8488	24	24T8488
8503	24	24T8503
8508	0	24T8508
8508	24	24T8508
8519	4	24T8519
8520	16	24T8520
8520	24	24T8520
8528	24	24T8528
8529	12	24T8529
8530	4	24T8530
8531	12	24T8531
8545	4	24T8545
8546	4	24T8546
8546	12	24T8546
8550	4	24T8550
8551	12	24T8551
8554	12	24T8554
8557	4	24T8557
8561	0	24T8561
8561	4	24T8561
8565	12	24T8565
8569	8	24T8569
8569	16	24T8569
8575	12	24T8575
8578	0	24T8578
8578	24	24T8578
8579	0	24T8579
8579	24	24T8579
8580	0	24T8580
8580	8	24T8580
8580	16	24T8580
8580	24	24T8580
8581	0	24T8581
8581	24	24T8581
8610	16	24T8610
8610	24	24T8610
8667	24	24T8667
8732	8	24T8732
8736	0	24T8736
8736	16	24T8736
8736	24	24T8736
8745	24	24T8745
8789	4	24T8789
8854	4	24T8854
8860	8	24T8860
8860	16	24T8860
8860	24	24T8860
8902	4	24T8902
8909	24	24T8909
8914	24	24T8914
8996	16	24T8996
8998	12	24T8998
9000	16	24T9000
9005	4	24T9005
9005	16	24T9005
9005	24	24T9005
9011	16	24T9011
9015	0	24T9015
9015	4	24T9015
9015	8	24T9015
9015	16	24T9015
9016	16	24T9016
9018	16	24T9018
9019	4	24T9019
9019	16	24T9019
9022	16	24T9022
9032	16	24T9032
9034	16	24T9034
9035	16	24T9035
9035	24	24T9035
9037	16	24T9037
9038	16	24T9038
9043	4	24T9043
9043	16	24T9043
9044	4	24T9044
9044	16	24T9044
9044	24	24T9044
9054	16	24T9054
9054	24	24T9054
9067	16	24T9067
9070	16	24T9070
9071	8	24T9071
9071	16	24T9071
9071	24	24T9071
9079	16	24T9079
9079	24	24T9079
9086	16	24T9086
9087	16	24T9087
9092	16	24T9092
9095	16	24T9095
9120	12	24T9120
9120	16	24T9120
9122	16	24T9122
9137	12	24T9137
9149	12	24T9149
9149	16	24T9149
9158	8	24T9158
9158	12	24T9158
9158	16	24T9158
9158	24	24T9158
9163	12	24T9163
9163	16	24T9163
9163	24	24T9163
9165	12	24T9165
9168	4	24T9168
9168	12	24T9168
9172	8	24T9172
9172	12	24T9172
9172	16	24T9172
9172	24	24T9172
9175	16	24T9175
9175	24	24T9175
9183	4	24T9183
9185	16	24T9185
9185	24	24T9185
9186	8	24T9186
9186	12	24T9186
9186	16	24T9186
9186	24	24T9186
9187	4	24T9187
9187	12	24T9187
9188	4	24T9188
9188	12	24T9188
9189	12	24T9189
9207	12	24T9207
9208	4	24T9208
9208	12	24T9208
9208	16	24T9208
9208	24	24T9208
9209	12	24T9209
9209	16	24T9209
9220	4	24T9220
9223	12	24T9223
9224	12	24T9224
9225	16	24T9225
9225	24	24T9225
9234	12	24T9234
9236	12	24T9236
9236	16	24T9236
9236	24	24T9236
9248	16	24T9248
9256	16	24T9256
9267	8	24T9267
9267	12	24T9267
9267	16	24T9267
9267	24	24T9267
9288	12	24T9288
9301	8	24T9301
9301	12	24T9301
9301	16	24T9301
9301	24	24T9301
9311	16	24T9311
9317	12	24T9317
9317	16	24T9317
9318	8	24T9318
9318	16	24T9318
9323	8	24T9323
9323	16	24T9323
9324	12	24T9324
9324	16	24T9324
9327	12	24T9327
9333	16	24T9333
9338	12	24T9338
9344	12	24T9344
